"filename", "language", "Properties", "JSON", "JavaScript", "Markdown", "HTML", "TypeScript", "SCSS", "XML", "comment", "blank", "total"
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\app.module.ts", "TypeScript", 0, 0, 0, 0, 0, 137, 0, 0, 1, 8, 146
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\home\home.component.html", "HTML", 0, 0, 0, 0, 59, 0, 0, 0, 0, 2, 61
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\home\home.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 227, 0, 4, 38, 269
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\home\home.component.ts", "TypeScript", 0, 0, 0, 0, 0, 75, 0, 0, 0, 13, 88
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\login\login.component.html", "HTML", 0, 0, 0, 0, 20, 0, 0, 0, 21, 0, 41
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\login\login.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 73, 0, 0, 11, 84
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\login\login.component.ts", "TypeScript", 0, 0, 0, 0, 0, 64, 0, 0, 0, 12, 76
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\match\match.component.html", "HTML", 0, 0, 0, 0, 66, 0, 0, 0, 25, 6, 97
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\match\match.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 234, 0, 4, 35, 273
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\match\match.component.ts", "TypeScript", 0, 0, 0, 0, 0, 112, 0, 0, 0, 18, 130
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\matches\matches.component.html", "HTML", 0, 0, 0, 0, 42, 0, 0, 0, 2, 2, 46
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\matches\matches.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 154, 0, 7, 26, 187
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\matches\matches.component.ts", "TypeScript", 0, 0, 0, 0, 0, 66, 0, 0, 0, 14, 80
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\navbar\navbar.component.html", "HTML", 0, 0, 0, 0, 45, 0, 0, 0, 2, 2, 49
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\navbar\navbar.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 57, 0, 0, 9, 66
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\navbar\navbar.component.ts", "TypeScript", 0, 0, 0, 0, 0, 31, 0, 0, 0, 5, 36
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\player\player.component.html", "HTML", 0, 0, 0, 0, 49, 0, 0, 0, 0, 1, 50
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\player\player.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 81, 0, 0, 9, 90
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\player\player.component.ts", "TypeScript", 0, 0, 0, 0, 0, 21, 0, 0, 0, 6, 27
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\players\players.component.html", "HTML", 0, 0, 0, 0, 68, 0, 0, 0, 1, 2, 71
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\players\players.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 182, 0, 1, 26, 209
